date|description|images|title|link|title_state|description_state
2018-05-27|Jedna z najrzadszych obiegowych monet okresu II RP wybita głębokim stemplem.\Piękny egzemplarz, intensywny połysk menniczy i wspaniale zachowane detale. Urokliwa, złocista patyna.\Parchimowicz 115 b; Fischer OB 014\\Stan zachowania 1-\Waga 17,92 g Ag\Średnica|['https://archiwum.niemczyk.pl/images/auction/orginal/1524131404_591K%20_2_.JPG', 'https://archiwum.niemczyk.pl/images/auction/orginal/1524131404_591K%20_1_.JPG']|II RP. 5 złotych 1930 Sztandar, STEMPEL GŁĘBOKI|https://archiwum.niemczyk.pl/auction/32/1295/ii-rp-5-zlotych-1930-sztandar-stempel-gleboki||1-
2018-05-27|Jedna z najrzadszych obiegowych monet okresu II RP wybita głębokim stemplem.\Piękna naturalna patyna, bardzo rzadki w takim stanie zachowania.\Parchimowicz 115 b; Fischer OB 014\\Stan zachowania PCGS MS62\Waga\Średnica|['https://archiwum.niemczyk.pl/images/auction/orginal/1525681847_1230%20k.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1524221020_1230K%20_2_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1524221020_1230K%20_1_.jpg']|II RP. 5 złotych 1930 Sztandar, STEMPEL GŁĘBOKI PCGS MS62|https://archiwum.niemczyk.pl/auction/32/1296/ii-rp-5-zlotych-1930-sztandar-stempel-gleboki-pcgs-ms62|PCGS MS62|PCGS MS62
2018-05-27|Piękny egzemplarz, intensywny połysk menniczy i wspaniale zachowane detale. Bardzo rzadki w takim stanie zachowania. Delikatna patyna.\Fischer OB 014\\\Stan zachowania NGC MS63\Waga\Średnica|['https://archiwum.niemczyk.pl/images/auction/orginal/1524132403_915K%20_1_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1524132403_915K%20_2_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1524132403_915K%20_3_.jpg']|II RP. 5 złotych 1930 Sztandar NGC MS63|https://archiwum.niemczyk.pl/auction/32/1297/ii-rp-5-zlotych-1930-sztandar-ngc-ms63|NGC MS63|NGC MS63
2018-05-27|Piękny egzemplarz, intensywny połysk menniczy i wspaniale zachowane detale. Bardzo rzadki w takim stanie zachowania.\Fischer OB 014\\Stan zachowania 1/1-\Waga 17.96 g Ag\Średnica|['https://archiwum.niemczyk.pl/images/auction/orginal/1524132935_585K%20_2_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1524132935_585K%20_1_.jpg']|II RP. 5 złotych 1930 Sztandar|https://archiwum.niemczyk.pl/auction/32/1298/ii-rp-5-zlotych-1930-sztandar||1/1-
2018-05-27|Bardzo ładny, świeży egzemplarz. Zachowany połysk menniczy, wspaniała prezencja.\Ficher OB 014\\Stan zachowania 2/2+\Waga 17.95 g Ag\Średnica|['https://archiwum.niemczyk.pl/images/auction/orginal/1524133580_666K%20_2_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1524133580_666K%20_1_.jpg']|II RP. 5 złotych 1930 Sztandar|https://archiwum.niemczyk.pl/auction/32/1299/ii-rp-5-zlotych-1930-sztandar||2/2+
2018-05-27|Ładnie zachowany egzemplarz, połysk, patyna.\Ficher OB 014\\Stan zachowania 3+\Waga 17.93 g Ag\Średnica|['https://archiwum.niemczyk.pl/images/auction/orginal/1524133822_1311K%20_1_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1524133822_1311K%20_2_.jpg']|II RP. 5 złotych 1930 Sztandar|https://archiwum.niemczyk.pl/auction/32/1300/ii-rp-5-zlotych-1930-sztandar||3+
2018-05-27|Egzemplarz z połyskiem menniczym, bardzo dobrze zachowanymi detalami, lecz niestety przetarty. \Ficher OB 014\\Stan zachowania 3+\Waga\Średnica|['https://archiwum.niemczyk.pl/images/auction/orginal/1524134256_859%20K%20_2_.jpg', 'https://archiwum.niemczyk.pl/images/auction/orginal/1524134256_859%20K%20_3_.JPG']|II RP. 5 złotych 1930 Sztandar|https://archiwum.niemczyk.pl/auction/32/1301/ii-rp-5-zlotych-1930-sztandar||3+
2018-05-27|Ładny egzemplarz, kolorowa patyna. Dobra prezentacja.\Ficher OB 014\\Stan zachowania 3+\Waga 17.92 g Ag\Średnica|['https://archiwum.niemczyk.pl/images/auction/orginal/1524134344_912%20K%20_1_.JPG', 'https://archiwum.niemczyk.pl/images/auction/orginal/1524134344_912%20K%20_3_.JPG']|II RP. 5 złotych 1930 Sztandar|https://archiwum.niemczyk.pl/auction/32/1302/ii-rp-5-zlotych-1930-sztandar||3+
2018-05-16 (20:05)|Bardzo ładny egzemplarz. Piękna, kolorowa patyna.\Waga: 18,00 g Ag .750\Fischer OB 014\[116-5]|['https://archiwum.niemczyk.pl/images/201805/7316496223_orginal.jpg', 'https://archiwum.niemczyk.pl/images/201805/7316496223_1_orginal.jpg']|II RP 5 złotych 1930 Sztandar st.2+|https://archiwum.niemczyk.pl/page/7316496223/ii-rp-5-zlotych-1930-sztandar-st2|2+|
2018-03-28 (22:03)|  Numer:\-112- 317\Nazwa:\II RP 5 złotych 1930 Sztandar st.3\Opis:\Przetarta moneta.\Waga:\18,01 g Ag .750\Literatura:\Fischer OB 014\ |['https://archiwum.niemczyk.pl/images/201803/7247410576_orginal.jpg', 'https://archiwum.niemczyk.pl/images/201803/7247410576_1_orginal.jpg']|II RP 5 złotych 1930 Sztandar st.3|https://archiwum.niemczyk.pl/page/7247410576/ii-rp-5-zlotych-1930-sztandar-st3|3|3
