,SVM,KNN,RF,LR
8,0.663 / 0.501,1.000 / 0.531,0.605 / 0.493,0.557 / 0.497
16,0.829 / 0.541,1.000 / 0.508,0.664 / 0.504,0.577 / 0.526
24,0.741 / 0.547,1.000 / 0.555,0.655 / 0.500,0.605 / 0.537
32,0.910 / 0.555,1.000 / 0.567,0.693 / 0.522,0.634 / 0.568
64,0.869 / 0.595,0.716 / 0.556,0.732 / 0.543,0.652 / 0.579
96,0.923 / 0.593,0.714 / 0.542,0.757 / 0.553,0.673 / 0.580
128,0.938 / 0.575,0.716 / 0.561,0.744 / 0.509,0.709 / 0.568
