,SVM,KNN,RF,LR
8,0.766 / 0.570,1.000 / 0.576,0.631 / 0.482,0.561 / 0.514
16,0.788 / 0.539,1.000 / 0.574,0.653 / 0.536,0.598 / 0.560
24,0.857 / 0.580,1.000 / 0.557,0.693 / 0.537,0.616 / 0.584
32,0.893 / 0.587,1.000 / 0.585,0.744 / 0.510,0.621 / 0.550
64,0.941 / 0.615,1.000 / 0.579,0.792 / 0.581,0.672 / 0.560
96,0.941 / 0.654,1.000 / 0.587,0.793 / 0.571,0.690 / 0.575
128,0.956 / 0.642,1.000 / 0.576,0.835 / 0.582,0.728 / 0.609
