,SVM,KNN,RF,LR
8,0.636 / 0.529,1.000 / 0.549,0.893 / 0.554,0.636 / 0.509
16,0.731 / 0.570,0.741 / 0.600,0.908 / 0.590,0.667 / 0.513
24,0.933 / 0.636,0.725 / 0.626,0.743 / 0.601,0.732 / 0.582
32,0.963 / 0.650,0.746 / 0.585,0.630 / 0.555,0.698 / 0.628
64,0.911 / 0.637,0.739 / 0.591,0.983 / 0.570,0.899 / 0.588
96,0.924 / 0.637,1.000 / 0.603,0.927 / 0.576,0.853 / 0.597
128,0.936 / 0.658,0.770 / 0.593,0.945 / 0.533,0.988 / 0.571
