,SVM,KNN,RF,LR
8,0.662 / 0.540,1.000 / 0.572,0.625 / 0.490,0.558 / 0.519
16,0.787 / 0.579,1.000 / 0.609,0.691 / 0.520,0.594 / 0.554
24,0.873 / 0.584,1.000 / 0.551,0.697 / 0.525,0.618 / 0.589
32,0.899 / 0.610,0.714 / 0.557,0.756 / 0.565,0.634 / 0.556
64,0.944 / 0.622,1.000 / 0.593,0.802 / 0.565,0.674 / 0.592
96,0.959 / 0.645,1.000 / 0.576,0.789 / 0.558,0.703 / 0.592
128,0.901 / 0.612,1.000 / 0.584,0.803 / 0.546,0.743 / 0.606
