"","SVM","KNN","RF","LR"
"8","0.711 / 0.551","1 / 0.520","0.638 / 0.466","0.559 / 0.529"
"16","0.930 / 0.531","1 / 0.565","0.663 / 0.509","0.598 / 0.573"
"24","0.838 / 0.589","1 / 0.607","0.696 / 0.533","0.617 / 0.596"
"32","0.890 / 0.614","1 / 0.553","0.729 / 0.511","0.627 / 0.548"
"64","0.914 / 0.616","1 /0.587","0.781 / 0.578","0.657 / 0.605"
"96","0.962 / 0.595","0.737 / 0.580","0.800 / 0.600","0.725 / 0.559"
"128","0.891 / 0.620","0.725 / 0.560","0.666 / 0.557","0.718 / 0.606"
