"","SVM","KNN","RF","LR"
"8","0.613 / 0.498","1.000 / 0.483","0.581 / 0.480","0.560 / 0.503"
"16","0.853 / 0.528","1.000 / 0.544","0.669 / 0.528","0.590 / 0.551"
"24","0.678 / 0.545","1.000 / 0.575","0.663 / 0.533","0.591 / 0.529"
"32","0.773 / 0.569","1.000 / 0.549","0.679 / 0.539","0.612 / 0.517"
"64","0.863 / 0.584","1.000 / 0.585","0.756 / 0.555","0.666 / 0.566"
"96","0.988 / 0.554","1.000 / 0.565","0.742 / 0.514","0.660 / 0.569"
"128","0.931 / 0.587","1.000 / 0.580","0.751 / 0.555","0.695 / 0.545"
