"","SVM","KNN","RF","LR"
"8","0.882 / 0.513","0.599 / 0.468","0.861 / 0.427","0.537 / 0.399"
"16","0.646 / 0.391","1.000 / 0.528","0.841 / 0.477","0.551 / 0.424"
"24","0.882 / 0.574","1.000 / 0.535","0.867 / 0.487","0.596 / 0.421"
"32","0.932 / 0.562","1.000 / 0.527","0.950 / 0.581","0.595 / 0.494"
"64","0.825 / 0.552","0.662 / 0.522","0.970 / 0.523","0.778 / 0.520"
"96","0.901 / 0.574","1.000 / 0.517","0.872 / 0.510","0.780 / 0.518"
"128","0.877 / 0.571","1.000 / 0.498","0.943 / 0.454","0.928 / 0.522"
