id|date|description|images|link|title|title_state|description_state
135|23 kwietnia 2012, 22:04|"Opis pozycji\Estymacje: 0 EUR | 1 PLN\\\Nr pozycji: 2276021906\Czas trwania aukcji: 735013 dni\Licytujących: 22"|['https://img1.onebid.pl/img/1000066/4290128398_1b.jpg?1335211495']|https://aukcje.gndm.pl/pl/auction/1000066/id/543040/1257-5-zl-1930-sztandar-st-2-2-ladny|1257. 5 zł 1930 Sztandar, st.2/2+ ŁADNY|2/2+|
136|19 kwietnia 2012, 22:00|"Opis pozycji\Estymacje: 0 EUR | 1 PLN\\\Nr pozycji: 2274217477\Czas trwania aukcji: 735009 dni\Licytujących: 15"|['https://img1.onebid.pl/img/1000066/4290128262_1b.jpg?1334865610']|https://aukcje.gndm.pl/pl/auction/1000066/id/542904/4103-5-zl-1930-sztandar-ngc-ms61|4103. 5 zł 1930, Sztandar - NGC MS61|NGC MS61|
137|08 marca 2012, 20:34|"Opis pozycji\Estymacje: 0 EUR | 1 PLN\\\Nr pozycji: 2179386235\Czas trwania aukcji: 734967 dni\Licytujących: 18"|['https://img1.onebid.pl/img/1000066/4290126118_1b.jpg?1331235252']|https://aukcje.gndm.pl/pl/auction/1000066/id/540760/1044-5-zl-1930-sztandar-st-3|1044. 5 zł 1930 Sztandar, st.~3+|~3+|
138|09 stycznia 2012, 20:41|"Opis pozycji\Estymacje: 0 EUR | 1 PLN\\\Nr pozycji: 2028725405\Czas trwania aukcji: 734908 dni\Licytujących: 13"|['https://img1.onebid.pl/img/1000066/4290122917_1b.jpg?1326138099']|https://aukcje.gndm.pl/pl/auction/1000066/id/537559/5855-5-zl-1930-sztandar-ngc-ms62|5855. 5 zł 1930 - Sztandar - NGC MS62|NGC MS62|
139|09 stycznia 2012, 20:38|"Opis pozycji\Estymacje: 0 EUR | 1 PLN\\\Nr pozycji: 2028725312\Czas trwania aukcji: 734908 dni\Licytujących: 18"|['https://img1.onebid.pl/img/1000066/4290122916_1b.jpg?1326137900']|https://aukcje.gndm.pl/pl/auction/1000066/id/537558/5854-5-zl-1930-sztandar-ngc-ms64-piekny|5854. 5 zł 1930 - Sztandar - NGC MS64 PIĘKNY|NGC MS64|
140|06 grudnia 2011, 15:00|"Opis pozycji\Estymacje: 0 EUR | 1 PLN\\\Nr pozycji: 2598250495\Czas trwania aukcji: 734874 dni\Licytujących: 17"|['https://img1.onebid.pl/img/1000066/4290133253_1b.jpg?1323180016']|https://aukcje.gndm.pl/pl/auction/1000066/id/547895/1453-5-zl-1930-sztandar-st-3|1453. 5 zł 1930 Sztandar, st.3+|3+|
141|03 listopada 2011, 20:59|"Opis pozycji\Estymacje: 0 EUR | 1 PLN\\\Nr pozycji: 1901875916\Czas trwania aukcji: 734841 dni\Licytujących: 12"|['https://img1.onebid.pl/img/1000066/4290119963_1b.jpg?1320350355']|https://aukcje.gndm.pl/pl/auction/1000066/id/534605/4250-sztandar-5-zl-1930-ngc-ms62|4250. Sztandar, 5 zł 1930 - NGC MS62|NGC MS62|
142|31 października 2011, 21:47|"Opis pozycji\Estymacje: 0 EUR | 1 PLN\\\Nr pozycji: 1895966661\Czas trwania aukcji: 734838 dni\Licytujących: 19"|['https://img1.onebid.pl/img/1000066/4290119836_1b.jpg?1320094052']|https://aukcje.gndm.pl/pl/auction/1000066/id/534478/1029-5-zl-1930-sztandar-st-2-1|1029. 5 zł 1930 Sztandar, st.2+/1-|2+/1-|
143|19 maja 2011, 21:52|"Opis pozycji\Estymacje: 0 EUR | 1 PLN\\\Nr pozycji: 1607121034\Czas trwania aukcji: 734673 dni\Licytujących: 16"|['https://img1.onebid.pl/img/1000066/4290113621_1b.jpg?1305834740']|https://aukcje.gndm.pl/pl/auction/1000066/id/528262/4631-sztandar-5-zl-1930-ngc-au58|4631. Sztandar 5 zł 1930 - NGC AU58|NGC AU58|
144|19 maja 2011, 21:50|"Opis pozycji\Estymacje: 0 EUR | 1 PLN\\\Nr pozycji: 1607120952\Czas trwania aukcji: 734673 dni\Licytujących: 17"|['https://img1.onebid.pl/img/1000066/4290113619_1b.jpg?1305834659']|https://aukcje.gndm.pl/pl/auction/1000066/id/528260/4630-sztandar-5-zl-1930-ngc-ms63|4630. Sztandar 5 zł 1930 - NGC MS63|NGC MS63|
145|09 marca 2011, 21:33|"Opis pozycji\Estymacje: 0 EUR | 1 PLN\\\Nr pozycji: 1496070822\Czas trwania aukcji: 734602 dni\Licytujących: 14"|['https://img1.onebid.pl/img/1000066/4290111050_1b.jpg?1299702796']|https://aukcje.gndm.pl/pl/auction/1000066/id/525690/1357-5-zl-1930-sztandar-st-4|1357. 5 zł 1930 Sztandar, st.4|4|
146|09 marca 2011, 21:32|"Opis pozycji\Estymacje: 0 EUR | 1 PLN\\\Nr pozycji: 1496070798\Czas trwania aukcji: 734602 dni\Licytujących: 11"|['https://img1.onebid.pl/img/1000066/4290111049_1b.jpg?1299702747']|https://aukcje.gndm.pl/pl/auction/1000066/id/525689/1356-5-zl-1930-sztandar-st-3-3|1356. 5 zł 1930 Sztandar, st.3/3+|3/3+|
147|09 marca 2011, 21:31|"Opis pozycji\Estymacje: 0 EUR | 1 PLN\\\Nr pozycji: 1496070751\Czas trwania aukcji: 734602 dni\Licytujących: 13"|['https://img1.onebid.pl/img/1000066/4290111048_1b.jpg?1299702690']|https://aukcje.gndm.pl/pl/auction/1000066/id/525688/1355-5-zl-1930-sztandar-st-3-3|1355. 5 zł 1930 Sztandar, st.3/3+|3/3+|
148|06 lutego 2011, 21:38|"Opis pozycji\Estymacje: 0 EUR | 1 PLN\\\Nr pozycji: 1438561526\Czas trwania aukcji: 734571 dni\Licytujących: 17"|['https://img1.onebid.pl/img/1000066/4290109316_1b.jpg?1297024719']|https://aukcje.gndm.pl/pl/auction/1000066/id/523956/1191-5-zl-1930-sztandar-st-2-2|1191. 5 zł 1930 SZTANDAR, st.2/2+|2/2+|
149|05 stycznia 2011, 21:35|"Opis pozycji\Estymacje: 0 EUR | 1 PLN\\\Nr pozycji: 1381376185\Czas trwania aukcji: 734539 dni\Licytujących: 11"|['https://img1.onebid.pl/img/1000066/4290107875_1b.jpg?1294259748']|https://aukcje.gndm.pl/pl/auction/1000066/id/522515/4097-5-zl-1930-sztandar-ngc-ms-63|4097. 5 zł 1930 Sztandar - NGC MS 63|NGC MS 63|
150|22 grudnia 2010, 19:02|"Opis pozycji\Estymacje: 0 EUR | 1 PLN\\\Nr pozycji: 1827018933\Czas trwania aukcji: 734525 dni\Licytujących: 10"|['https://img1.onebid.pl/img/1000066/4290118621_1b.jpg?1293040946']|https://aukcje.gndm.pl/pl/auction/1000066/id/533262/4894-5-zl-1930-sztandar-ngc-ms62|4894. 5 zł 1930 Sztandar - NGC MS62|NGC MS62|
151|19 grudnia 2010, 20:26|"Opis pozycji\Estymacje: 0 EUR | 1 PLN\\\Nr pozycji: 1366287772\Czas trwania aukcji: 734522 dni\Licytujących: 8"|['https://img1.onebid.pl/img/1000066/4290107440_1b.jpg?1292786765']|https://aukcje.gndm.pl/pl/auction/1000066/id/522080/1987-5-zl-1930-sztandar-3-3|1987. 5 zł 1930 Sztandar, 3/3+|3/3+|
152|09 grudnia 2010, 21:10|"Opis pozycji\Estymacje: 0 EUR | 1 PLN\\\Nr pozycji: 1801050569\Czas trwania aukcji: 734512 dni\Licytujących: 19"|['https://img1.onebid.pl/img/1000066/4290117578_1b.jpg?1291925441']|https://aukcje.gndm.pl/pl/auction/1000066/id/532219/4895-5-zl-1930-sztandar-ngc-ms61-ladna-patyna|4895. 5 zł 1930 Sztandar - NGC MS61 ładna patyna|NGC MS61|
153|09 grudnia 2010, 21:08|"Opis pozycji\Estymacje: 0 EUR | 1 PLN\\\Nr pozycji: 1801050486\Czas trwania aukcji: 734512 dni\Licytujących: 14"|['https://img1.onebid.pl/img/1000066/4290117577_1b.jpg?1291925293']|https://aukcje.gndm.pl/pl/auction/1000066/id/532218/4894-5-zl-1930-sztandar-ngc-ms62|4894. 5 zł 1930 Sztandar - NGC MS62|NGC MS62|
154|19 maja 2010, 21:10|"Opis pozycji\Estymacje: 0 EUR | 1 PLN\\\Nr pozycji: 1041527219\Czas trwania aukcji: 734308 dni\Licytujących: 10"|['https://img1.onebid.pl/img/1000066/4290099968_1b.jpg?1274296206']|https://aukcje.gndm.pl/pl/auction/1000066/id/514608/1205-5-zl-1930-sztandar-st-2-3|1205. 5 zł 1930 Sztandar, st.2/3|2/3|
155|05 maja 2010, 20:17|"Opis pozycji\Estymacje: 0 EUR | 1 PLN\\\Nr pozycji: 1020454374\Czas trwania aukcji: 734294 dni\Licytujących: 9"|['https://img1.onebid.pl/img/1000066/4290099139_1b.jpg?1273083431']|https://aukcje.gndm.pl/pl/auction/1000066/id/513779/4528-5-zl-1930-sztandar-ngc-ms-63|4528. 5 zł 1930 Sztandar, NGC MS 63|NGC MS 63|
156|23 marca 2010, 21:28|"Opis pozycji\Estymacje: 0 EUR | 1 PLN\\\Nr pozycji: 963344741\Czas trwania aukcji: 734251 dni\Licytujących: 14"|['https://img1.onebid.pl/img/1000066/4290097480_1b.jpg?1269376098']|https://aukcje.gndm.pl/pl/auction/1000066/id/512120/4303-5-zl-1930-sztandar-ngc-au-details|4303. 5 zł 1930 Sztandar, NGC AU Details|NGC AU |
157|23 marca 2010, 21:18|"Opis pozycji\Estymacje: 0 EUR | 1 PLN\\\Nr pozycji: 963319211\Czas trwania aukcji: 734251 dni\Licytujących: 17"|['https://img1.onebid.pl/img/1000066/4290097479_1b.jpg?1269375531']|https://aukcje.gndm.pl/pl/auction/1000066/id/512119/4302-5-zl-1930-sztandar-gcn-au-58|4302. 5 zł 1930 Sztandar, GCN AU 58|GCN AU 58|
158|08 marca 2010, 21:42|"Opis pozycji\Estymacje: 0 EUR | 1 PLN\\\Nr pozycji: 943610834\Czas trwania aukcji: 734236 dni\Licytujących: 15"|['https://img1.onebid.pl/img/1000066/4290097018_1b.jpg?1268080951']|https://aukcje.gndm.pl/pl/auction/1000066/id/511658/4254-5-zl-1930-sztandar-ngc-au-details|4254. 5 zł 1930 Sztandar, NGC AU details|NGC AU |
159|16 lutego 2010, 13:00|"Opis pozycji\Estymacje: 0 EUR | 1 PLN\\\Nr pozycji: 917760452\Czas trwania aukcji: 734216 dni\Licytujących: 14"|['https://img1.onebid.pl/img/1000066/4290095992_1b.jpg?1266321613']|https://aukcje.gndm.pl/pl/auction/1000066/id/510632/1019-5-zl-1930-sztandar-st-3|1019. 5 zł 1930 Sztandar, st.3|3|
160|12 grudnia 2009, 21:36|"Opis pozycji\Estymacje: 0 EUR | 1 PLN\\\Nr pozycji: 1218599685\Czas trwania aukcji: 734150 dni\Licytujących: 13"|['https://img1.onebid.pl/img/1000066/4290103788_1b.jpg?1260650201']|https://aukcje.gndm.pl/pl/auction/1000066/id/518428/1565-5-zl-1930-sztandar-st-3|1565. 5 zł 1930 Sztandar, st.3+|3+|
161|17 grudnia 2008, 21:45|"Opis pozycji\Estymacje: 0 EUR | 1 PLN\\\Nr pozycji: 739321310\Czas trwania aukcji: 733790 dni\Licytujących: 9"|['https://img1.onebid.pl/img/1000066/4290090723_1b.jpg?1229546726']|https://aukcje.gndm.pl/pl/auction/1000066/id/505363/3545-5-zl-1930-sztandar-ngc-au-55|3545. 5 zł 1930, Sztandar - NGC AU 55|NGC AU 55|
162|15 października 2008, 21:29|"Opis pozycji\Estymacje: 0 EUR | 1 PLN\\\Nr pozycji: 457209077\Czas trwania aukcji: 733727 dni\Licytujących: 14"|['https://img1.onebid.pl/img/1000066/4290082451_1b.jpg?1224098941']|https://aukcje.gndm.pl/pl/auction/1000066/id/497091/1466-5-zl-1930-sztandar|1466. 5 zł 1930 Sztandar||
163|08 lipca 2008, 21:50|"Opis pozycji\Estymacje: 0 EUR | 1 PLN\\\Nr pozycji: 394426406\Czas trwania aukcji: 733628 dni\Licytujących: 8"|['https://img1.onebid.pl/img/1000066/4290080296_1b.jpg?1215546640']|https://aukcje.gndm.pl/pl/auction/1000066/id/494936/2076-5-zl-1930-sztandar-gcn-au-53|2076. 5 zł 1930 - SZTANDAR - GCN AU 53|GCN AU 53|
