,SVM,KNN,RF,LR
8,0.773 / 0.274,1.000 / 0.318,0.817 / 0.354,0.345 / 0.278
16,0.405 / 0.333,1.000 / 0.345,0.701 / 0.309,0.386 / 0.283
24,0.975 / 0.297,1.000 / 0.325,0.953 / 0.391,0.438 / 0.336
32,0.502 / 0.320,1.000 / 0.358,0.937 / 0.345,0.441 / 0.338
64,0.993 / 0.345,1.000 / 0.312,0.865 / 0.383,0.555 / 0.323
96,0.822 / 0.345,1.000 / 0.338,0.897 / 0.329,0.698 / 0.317
128,0.873 / 0.352,1.000 / 0.293,0.904 / 0.325,0.641 / 0.326
