,SVM,KNN,RF,LR
8,0.600 / 0.520,1.000 / 0.495,0.590 / 0.488,0.499 / 0.484
16,0.577 / 0.499,1.000 / 0.489,0.597 / 0.541,0.514 / 0.504
24,0.937 / 0.520,1.000 / 0.500,0.700 / 0.522,0.528 / 0.520
32,0.792 / 0.498,0.678 / 0.534,0.713 / 0.500,0.564 / 0.490
64,0.987 / 0.497,0.678 / 0.497,0.718 / 0.482,0.606 / 0.519
96,0.887 / 0.492,1.000 / 0.538,0.757 / 0.500,0.619 / 0.458
128,0.989 / 0.535,0.694 / 0.531,0.792 / 0.509,0.645 / 0.492
