,SVM,KNN,RF,LR
8,0.729 / 0.570,0.998 / 0.564,0.868 / 0.550,0.615 / 0.511
16,0.830 / 0.644,1.000 / 0.586,0.911 / 0.579,0.663 / 0.566
24,0.801 / 0.613,0.998 / 0.574,0.797 / 0.582,0.686 / 0.570
32,0.827 / 0.640,0.805 / 0.588,0.823 / 0.574,0.695 / 0.549
64,0.911 / 0.688,0.773 / 0.592,0.945 / 0.584,0.754 / 0.618
96,0.880 / 0.712,1.000 / 0.603,0.913 / 0.608,0.743 / 0.611
128,0.875 / 0.676,0.741 / 0.593,0.885 / 0.575,0.798 / 0.639
