,SVM,KNN,RF,LR
8,0.508 / 0.444,1.000 / 0.439,0.571 / 0.400,0.502 / 0.456
16,0.632 / 0.446,1.000 / 0.464,0.570 / 0.376,0.538 / 0.441
24,0.712 / 0.507,0.644 / 0.464,0.614 / 0.427,0.515 / 0.468
32,0.903 / 0.501,1.000 / 0.556,0.648 / 0.410,0.579 / 0.491
64,1.000 / 0.512,1.000 / 0.523,0.671 / 0.431,0.576 / 0.503
96,0.881 / 0.532,1.000 / 0.496,0.711 / 0.474,0.614 / 0.501
128,0.921 / 0.532,1.000 / 0.538,0.692 / 0.465,0.660 / 0.557
