,SVM,KNN,RF,LR
8,0.718 / 0.538,1.000 / 0.470,0.901 / 0.403,0.539 / 0.489
16,0.864 / 0.500,1.000 / 0.489,0.958 / 0.480,0.592 / 0.527
24,0.672 / 0.528,1.000 / 0.462,0.981 / 0.487,0.663 / 0.545
32,0.966 / 0.516,0.695 / 0.544,0.977 / 0.409,0.679 / 0.528
64,0.881 / 0.644,1.000 / 0.519,0.996 / 0.546,0.762 / 0.588
96,0.893 / 0.669,1.000 / 0.577,0.828 / 0.516,0.798 / 0.565
128,0.977 / 0.601,1.000 / 0.537,0.874 / 0.483,0.992 / 0.560
