,SVM,KNN,RF,LR
8,0.567 / 0.406,1.000 / 0.468,0.842 / 0.466,0.503 / 0.347
16,0.885 / 0.466,1.000 / 0.483,0.601 / 0.454,0.538 / 0.402
24,0.960 / 0.456,0.689 / 0.488,0.876 / 0.468,0.587 / 0.409
32,0.655 / 0.517,1.000 / 0.486,0.876 / 0.489,0.629 / 0.506
64,0.757 / 0.475,1.000 / 0.500,0.886 / 0.463,0.692 / 0.470
96,0.839 / 0.528,0.692 / 0.437,0.935 / 0.480,0.801 / 0.480
128,0.891 / 0.487,1.000 / 0.509,0.683 / 0.457,0.741 / 0.470
