,SVM,KNN,RF,LR
8,0.577 / 0.448,0.998 / 0.449,0.908 / 0.483,0.567 / 0.483
16,0.933 / 0.450,0.998 / 0.501,0.819 / 0.488,0.613 / 0.528
24,0.943 / 0.489,0.651 / 0.450,0.980 / 0.485,0.610 / 0.532
32,0.866 / 0.513,0.998 / 0.520,0.893 / 0.539,0.628 / 0.500
64,0.928 / 0.539,0.998 / 0.458,0.933 / 0.448,0.736 / 0.538
96,0.913 / 0.555,0.998 / 0.457,0.889 / 0.494,0.791 / 0.560
128,0.960 / 0.566,0.998 / 0.559,0.780 / 0.517,0.903 / 0.584
