,SVM,KNN,RF,LR
8,0.725 / 0.535,0.682 / 0.515,0.720 / 0.537,0.600 / 0.526
16,0.820 / 0.585,1.000 / 0.527,0.887 / 0.540,0.657 / 0.583
24,0.681 / 0.533,0.734 / 0.545,0.923 / 0.577,0.680 / 0.599
32,0.838 / 0.610,1.000 / 0.601,0.926 / 0.568,0.720 / 0.618
64,0.871 / 0.623,1.000 / 0.557,0.875 / 0.573,0.747 / 0.611
96,0.874 / 0.635,0.773 / 0.550,0.871 / 0.618,0.791 / 0.669
128,0.914 / 0.658,0.760 / 0.599,0.798 / 0.573,0.827 / 0.610
