,SVM,KNN,RF,LR
8,0.697 / 0.551,0.702 / 0.447,0.716 / 0.562,0.620 / 0.555
16,0.751 / 0.607,0.776 / 0.484,0.906 / 0.559,0.621 / 0.596
24,0.897 / 0.661,0.737 / 0.563,0.828 / 0.586,0.684 / 0.645
32,0.889 / 0.646,0.737 / 0.611,0.920 / 0.603,0.732 / 0.626
64,0.858 / 0.658,0.755 / 0.595,0.970 / 0.640,0.747 / 0.646
96,0.679 / 0.625,0.776 / 0.596,0.973 / 0.610,0.829 / 0.670
128,0.907 / 0.672,1.000 / 0.597,0.832 / 0.580,0.819 / 0.647
