"","SVM","KNN","RF","LR"
"8","0.718 / 0.590","0.742 / 0.500","0.705 / 0.525","0.604 / 0.534"
"16","0.839 / 0.636","1.000 / 0.582","0.798 / 0.574","0.663 / 0.551"
"24","0.721 / 0.586","1.000 / 0.580","0.914 / 0.549","0.706 / 0.589"
"32","0.901 / 0.669","0.777 / 0.588","0.839 / 0.583","0.702 / 0.583"
"64","0.926 / 0.660","0.780 / 0.608","0.863 / 0.594","0.724 / 0.636"
"96","0.965 / 0.708","0.772 / 0.611","0.938 / 0.642","0.812 / 0.610"
"128","0.882 / 0.653","0.792 / 0.596","0.873 / 0.562","0.816 / 0.617"
