,SVM,KNN,RF,LR
8,0.809 / 0.524,0.718 / 0.508,0.806 / 0.490,0.627 / 0.539
16,0.835 / 0.564,1.000 / 0.572,0.876 / 0.560,0.663 / 0.601
24,0.777 / 0.595,0.738 / 0.558,0.841 / 0.594,0.702 / 0.594
32,0.726 / 0.587,0.731 / 0.584,0.916 / 0.618,0.697 / 0.639
64,0.843 / 0.694,1.000 / 0.611,0.963 / 0.636,0.756 / 0.669
96,0.870 / 0.648,1.000 / 0.624,0.973 / 0.610,0.764 / 0.626
128,0.823 / 0.653,1.000 / 0.607,0.779 / 0.597,0.936 / 0.597
