,SVM,KNN,RF,LR
8,0.853 / 0.384,0.613 / 0.352,0.521 / 0.444,0.515 / 0.493
16,0.549 / 0.498,0.669 / 0.415,0.909 / 0.498,0.546 / 0.466
24,0.435 / 0.425,1.000 / 0.381,0.894 / 0.433,0.542 / 0.413
32,0.476 / 0.380,1.000 / 0.392,0.894 / 0.570,0.567 / 0.448
64,0.569 / 0.498,1.000 / 0.506,0.996 / 0.385,0.614 / 0.398
96,0.690 / 0.369,1.000 / 0.351,1.000 / 0.329,0.718 / 0.439
128,0.618 / 0.426,1.000 / 0.353,0.846 / 0.369,0.814 / 0.494
