,SVM,KNN,RF,LR
8,0.708 / 0.547,0.772 / 0.510,0.646 / 0.523,0.610 / 0.512
16,0.843 / 0.576,1.000 / 0.545,0.923 / 0.569,0.648 / 0.567
24,0.889 / 0.601,1.000 / 0.587,0.893 / 0.538,0.679 / 0.573
32,0.791 / 0.614,0.760 / 0.537,0.917 / 0.562,0.684 / 0.593
64,0.948 / 0.675,0.729 / 0.603,0.876 / 0.611,0.746 / 0.606
96,0.965 / 0.663,1.000 / 0.622,0.893 / 0.586,0.790 / 0.615
128,0.882 / 0.641,1.000 / 0.619,0.886 / 0.599,0.798 / 0.598
